"50","陈胜春","420612199112154469","导游/旅行顾问"
"51","陈霞","711701198205202000","广告客户总监/副总监"
"52","王萍","330514199403258991","收银主管"
"53","谷斐斐","540213198002051399","其他"
"54","黄晓燕","711611196105234815","营运主管"
"55","程福毅","541220197507258929","技术总监/经理"
"56","杨建员","211210196909167049","质量管理/测试主管(QA/QC主管)"
"57","朱瑛","611003198306081417","其他"
"58","钱跃庭","141506196708197327","培训经理/主管"
"59","吴红叶","500324197404206463","车身/造型设计"
"60","钱雷岗","230202198212162928","美容保健"
"61","胡海娟","360805197110259913","服装/纺织设计总监"
"62","仝泽强","541520199211269409","促销员"
"63","洪旭明","461527199305092981","理财顾问/财务规划师"
"64","张宏燕","310312199412251751","统计员"
"65","何金雨","111401198812145302","家教"
"66","王云龙","311102198001137496","其他"
"67","陈娟","321021197510178742","销售助理"
"68","施卓锋","210105199507056129","媒介专员"
"69","吕雨时","440423197505213431","激光/光电子技术"
"70","陈倩","331108199510168208","投资银行财务分析"
"71","黄婷婷","120218199406031825","放射科医师"
"72","章建萍","650708198805118863","房地产项目/策划主管/专员"
"73","康良","501825199405068359","财务助理/文员"
"74","王兴华","340125199401019863","影视/媒体"
"75","童昀","360311199501207210","行李员"
"76","黄孝军","131108198202211425","其他"
"77","周丽清","141008198403066139","金融/证券/期货/投资"
"78","陈益平","360814198204195165","生产领班/组长"
"79","张威波","610223199108223644","中医科医生"
"80","高阳","710202198303155636","银行客户总监"
"81","蔡郑爽","211124197002198444","营运主管"
"82","任伟元","370421197806211520","ERP实施顾问"
"83","徐海霞","810223197108186092","网络信息安全工程师"
"84","卢静","530515198805068869","保险核保"
"85","郭斯安","510127199803104316","自动控制工程师/技术员"
"86","施园园","450511199212185112","项目执行/协调人员"
"87","林达","220627198207137690","通信技术工程师"
"88","鲍祖湘","610221197210068622","家政保洁"
"89","张锦灵","501417198304252589","折弯工"
"90","柯程程","231514197303041351","特效设计师"
"91","金晶","361104199605145190","其他"
"92","字云永","430328197010309391","打样/制版"
"93","虞娟娟","231106197912257347","出租车司机"
"94","章青","811304198504242952","停车管理员"
"95","舒春晓","810117197112113156","医疗器械销售经理/主管"
"96","郑峰","711312199710169023","业务跟单经理"
"97","吴莹","411706196608041002","融资专员"
"98","钱晓怡","420606196303041275","韩语/朝鲜语翻译"
"99","杨帆","221617198007193397","汽车装饰美容"
"100","叶广","110621197508285838","科研"
"101","周燕青","530918197701096288","数控编程"
"102","陈海明","611716197002137653","其他"
"103","刘毅","651209198608017922","咨询热线/呼叫中心服务人员"
"104","周思豪","360108197804093976","物业机电工程师"
"105","杨钰","411813197109091173","环保工程师"
"106","叶英立","411516199609119028","工程/机械绘图员"
"107","范珂娜","510218196905038734","高级业务跟单"
"108","周洋君","111703198003149104","故障分析工程师"
"109","洪小娟","131118197307259946","电力线路工"
"110","黄成","511615198510229084","固废工程师"
"111","刘欣鑫","511226199310077200","法务主管/专员"
"112","何文捍","450111197912308674","汽车质量管理"
"113","吴时嫦","711215197302084247","水质检测员"
"114","王丽","521501198708196688","个人业务客户经理"
"115","陈一铭","610717196805074105","空调/热能工程师"
"116","徐丽霞","441325197409224497","出版/发行"
"117","卢静","810623196604059864","科研管理人员"
"118","徐梦影","211304196012182263","样衣工"
"119","潘伟娜","431816199411113729","行政专员/助理"
"120","贾爱仁","710324199407231898","法语翻译"
"121","申海洋","430813199305146350","电力线路工"
"122","储慧涛","711824196002281531","西班牙语翻译"
"123","周辛艺","370113199507152900","区域销售总监"
"124","石静","230326196801124328","木工"
"125","毛晓颖","410407197907129240","信息技术经理/主管"
"126","诸葛莹","630205197208166989","德语翻译"
"127","龚闻芳","630206198403308488","其他"
"128","吴伟平","320114196809251940","预订员"
"129","柴月锋","511301196610274816","化验员"
"130","张晓琴","501222196908089607","钣金工"
"131","陈之华","540614196505029267","普工/操作工"
"132","张飞赟","351402198106027250","脚本开发工程师"
"133","梅陈炎","620723199504215578","医药代表"
"134","刘美州","641520198301199264","经纪人/星探"
"135","王晓敏","451627198607276731","固定资产会计"
"136","奚静","140515198611179838","地勤人员"
"137","邹慧聪","711506199102204031","葡萄牙语翻译"
"138","王蒙蒙","451208198412062526","船舶工程师"
"139","戴潮龙","411215196608238649","服装/纺织/皮革跟单"
"140","连静蓉","531003199103174026","人事主管"
"141","张黎","630613199608074171","娱乐服务员"
"142","钱嘉佳","810124199112232337","网络/在线销售"
"143","楼旭东","231503197605157342","网络维修"
"144","丁丽玲","331510197708138137","其他"
"145","刘瀚中","411502196412208266","出租车司机"
"146","涂玉梅","320325199508168417","物流经理"
"147","吴正","521527199606079960","炼胶工"
"148","王坤","340514198708021976","儿科医生"
"149","吕惠","320226197808193662","业务跟单"
"150","王培静","460904197212203761","食品/饮料研发"
"151","潘松华","210223197201122028","电子商务经理/主管"
"152","徐建宏","360121196011122692","销售助理"
"153","竺旦颖","350315197802219368","电梯工"
"154","刘钢涛","441212199604045187","仪表工"
"155","郎嘉","641725198401066279","系统集成工程师"
"156","厉建卫","410907199501255089","宴会管理"
"157","南振安","371216198006308082","多媒体设计"
"158","鲁雪君","611009197803108714","休闲娱乐"
"159","沈学弟","341707196701227791","软件UI设计师/工程师"
"160","朱敏霞","411509197301034999","公关专员"
"161","林斌斌","501702197912302162","投资/理财顾问"
"162","沈鸿伟","331526198107116652","铲车司机"
"163","陈雪芽","320207198804083169","签证专员"
"164","胡叶凤","330226196207211287","进出口/信用证结算"
"165","周利明","510613199611208526","饲养员"
"166","应美珍","531301198409167058","水利/水电工程师"
"167","杨军军","150823197701317900","服装领班"
"168","蔡青","351706197004082162","仪表工"
"169","张水琴","450717199711121817","房地产内勤"
"170","毛祥明","330108199601015017","水质检测员"
"171","陆如莹","231608199511221029","大堂经理"
"172","金光明","611805198007293957","医疗器械销售经理/主管"
"173","徐兆红","461806199302157144","可靠度工程师"
"174","陈竞","520526199603226672","矿产勘探/地质勘测工程师"
"175","顾军杰","501610197501221698","医药招商"
"176","吴美丽","111019197103277836","钳工"
"177","周国平","361304196307226764","其他"
"178","宋卓艺","221025196704272722","保险精算师"
"179","王靖璨","650323198301178251","放映经理/主管"
"180","苏波","461202199806156474","保险理赔"
"181","陈亚辉","531716199009221146","移动通信工程师"
"182","俞彬彬","361801197709064058","咨询员"
"183","刘丽吉","130527199103317990","预结算员"
"184","周琳","431404196307156781","混凝土工"
"185","张昀","441128196204186527","自动控制工程师/技术员"
"186","黄达","150311198903212883","订单处理员"
"187","陈娣","310315196009236249","网络推广总监"
"188","姚锦岳","421828198506303938","楼面经理"
"189","严丽华","120502197102196428","美容师"
"190","强雅娟","121604197909067988","物业管理专员/助理"
"191","林均","530418198706046090","产品专员"
"192","字云永","230218199410173833","废气处理工程师"
"193","曾清","531524198904118319","首席运营官COO"
"194","孙凡","360925197002205187","展览/展示/店面设计"
"195","任春君","371522198507109349","固废工程师"
"196","徐富","441410196907104411","样衣工"
"197","刘樟龙","221210199406094810","项目总监"
"198","俞剑飞","370306198906058071","平面设计经理/主管"
"199","童静华","650206199302252937","浆纱工"
"200","沈荣","211319196101169942","其他"
