"95","王坤","430801198609215053","13000376456","2006-09-16","浙江知仁律师事务所"
"96","施园园","710518198701227765","18294165272","2006-01-17","浙江联英律师事务所"
"97","周辛艺","631410196907263273","18173629551","1990-07-21","浙江泽大律师事务所"
"98","王丽","810713199202294496","18032140530","2010-02-24","浙江金品律师事务所"
"99","张晓芳","420810199003307433","15127495982","2009-03-25","浙江厚望律师事务所"
"100","柯程程","120104199108121084","18187531717","2011-08-07","浙江泽商律师事务所"
"101","刘丽吉","441104197110088212","15196485149","1992-10-02","海宁市法律援助中心"
"102","毛祥明","531116198701296433","13299683696","2005-01-24","岱山县法律援助中心"
"103","刘樟龙","511525197402286998","15710508021","1994-02-23","浙江浙源律师事务所"
"104","汤小东","501425197601054321","18735850642","1995-12-31","浙江诺力亚律师事务所"
"105","陈海明","500503196402048506","13668016961","1983-01-30","浙江求是行律师事务所"
"106","陈磊","110512198210109638","18937585510","2002-10-05","浙江护龙律师事务所"
"107","孙民","140614196803228863","18223629174","1986-03-18","浙江宇策律师事务所"
"108","孙凡","131322197903056089","15054282406","1997-02-28","浙江正昌律师事务所"
"109","陈霞","811214198805033377","13203526852","2008-04-28","浙江崇和律师事务所"
"110","马树鹏","711714196408264337","13129780052","1984-08-21","浙江优飞律师事务所"
"111","王涛","640609198504149318","18039976294","2005-04-09","浙江远洋律师事务所"
"112","俞剑飞","150121198608255189","13374608083","2006-08-20","浙江金宏律师事务所"
"113","张飞赟","501803197206093442","15191169183","1991-06-05","浙江浦阳律师事务所"
"114","吴伟平","510627198506114113","13857506594","2004-06-06","浙江吴伟平律师事务所"
"115","徐海霞","711312198408147557","13232294394","2004-08-09","浙江法君律师事务所"
"116","金晶","441416198204208965","15394453998","2001-04-15","浙江泽商律师事务所"
"117","陆如莹","651426198012151331","18762926895","2000-12-10","浙江仁联律师事务所"
"118","何姗","310918196803232471","14796611691","1987-03-19","浙江智贤律师事务所"
"119","毛晓颖","620709197403294241","15372848728","1995-03-24","浙江越兴律师事务所"
"120","章建萍","530507197212298856","18834412727","1993-12-24","浙江婺星律师事务所"
"121","竺旦颖","220504196709201424","18979071076","1985-09-15","浙江乾盛律师事务所"
"122","陈娣","641607197810287771","18145033277","1996-10-23","浙江丹溪律师事务所"
"123","章梅艺优","811608196704254002","14568773092","1985-04-20","浙江华溪律师事务所"
"124","应乐盈","641003198808074975","18011749142","2008-08-02","浙江嘉瑞成律师事务所"
"125","吴时嫦","111006196703134497","14522774177","1987-03-08","浙江安瑞律师事务所"
"126","张黎","531027198610228882","13325246680","2004-10-17","浙江六和温州律师事务所"
"127","章青","511712197707229637","18201925702","1996-07-17","浙江凡心律师事务所"
"128","吴美丽","120413197911304655","18545480274","2000-11-24","湖州市菰城法律服务所"
"129","吴红叶","340323196511256087","13663926619","1983-11-21","宁波市北仑区东港法律服务所"
"130","刘美州","430525197906065114","15934302697","1997-06-01","浙江海威特律师事务所"
"131","张水琴","310203198707011546","18967609182","2007-06-26","浙江九凰律师事务所"
"132","陈一铭","310917199308267356","13867143579","2011-08-22","浙江万申佳律师事务所"
"133","石静","311625198406091502","13183657345","2003-06-05","浙江杭天信律师事务所"
"134","叶英立","110508196208233905","15205221165","1980-08-18","景宁县新泰法律服务所"
"135","周琳","120426199309247624","15389184449","2013-09-19","浙江婺源律师事务所"
"136","郎嘉","310605196108229442","13518027027","1981-08-17","武义县中天法律服务所"
"137","鲁雪君","311209197504152807","18210679715","1995-04-10","浙江浙耀律师事务所"
"138","林达","651625198801219116","13947605957","2008-01-16","北京德恒温州律师事务所"
"139","卢静","451806197006149203","15674228342","1989-06-09","浙江震瓯律师事务所"
"140","俞佳敏","521113198407226422","18227702437","2005-07-17","浙江可道律师事务所"
"141","林均","620116198201247382","13029093825","2001-01-19","浙江建策律师事务所"
"142","刘欣鑫","500910196812162908","13552012160","1989-12-11","浙江共业律师事务所"
"143","童静华","461421197802286140","15274317262","1996-02-24","浙江乾盛律师事务所"
"144","林斌斌","510718197003056569","14505678874","1989-02-28","浙江豪江律师事务所"
"145","刘钢涛","510311198509098819","15560592821","2006-09-04","绍兴县平水法律服务所"
"146","陈益平","320619196306098363","13014487141","1984-06-03","浙江法君律师事务所"
"147","张昀","331812199205285444","18012508303","2011-05-24","浙江慈中律师事务所"
"148","王晓敏","541326198609296630","13626064434","2006-09-24","浙江天卓律师事务所"
"149","郑凯","331509196901098021","15645039930","1989-01-04","浙江丰畅律师事务所"
"150","邹慧聪","450617196209267085","13635484123","1983-09-21","丽水市莲城公证处"
"151","何金雨","710822196305028448","18038535108","1982-04-27","浙江德凡律师事务所"
"152","谷斐斐","350318198709284429","18579317521","2007-09-23","浙江士勇律师事务所"
"153","周思豪","421523198903307165","13268741185","2010-03-25","浙江泽大乐清律师事务所"
"154","任伟元","461005198711177959","15304923088","2007-11-12","浙江省宁波市天一公证处"
"155","王云龙","360928197705053754","15068285589","1996-04-30","浙江浙源律师事务所"
"156","潘松华","310501196404124268","15345303803","1982-04-08","杭州市四海法律服务所"
"157","杜伟红","410318195912213904","13849280820","1978-12-16","浙江晟耀律师事务所"
"158","仝泽强","360422198911113401","13152065739","2010-11-06","浙江绍明律师事务所"
"159","宋卓艺","150905198412132503","13733611080","2002-12-09","慈溪市法律援助中心"
"160","江优莉","450319198810253811","13671620823","2007-10-21","浙江初九律师事务所"
"161","黄孝军","331427198711159030","18903179113","2007-11-10","浙江东创律师事务所"
"162","陈竞","331806198501027009","15203290780","2005-12-28","浙江游龙律师事务所"
"163","胡叶凤","370712199511231393","15983919362","2016-11-17","浙江泽大平湖律师事务所"
"164","斯友全","310804198305231038","18153869808","2001-05-18","浙江司正律师事务所"
"165","刘瀚中","360317198108311462","15889213288","2001-08-26","浙江婺星律师事务所"
"166","杨帆","451404197309076998","18778435664","1991-09-03","浙江海豪律师事务所"
"167","徐梦影","420725197104021476","13639476377","1992-03-27","浙江万申佳律师事务所"
"168","周洋君","361112198803022938","15707667887","2008-02-26","浙江万松律师事务所"
"169","龚闻芳","110824198702072561","15875302222","2005-02-02","浙江青风律师事务所"
"170","朱瑛","611508199106182106","15382191485","2012-06-12","浙江水乡人律师事务所"
"171","林京","350128198010156270","13188222097","1998-10-11","浙江如鹰律师事务所"
"172","贾爱仁","540622196412266322","15268743272","1983-12-22","浙江建桥律师事务所"
"173","徐海霞","530714196910065904","13633475589","1989-10-01","浙江法君律师事务所"
"174","沈鸿伟","141821197612249981","13475783664","1995-12-20","浙江金鼎律师事务所"
"175","杜婧婧","431525197305168996","13808715300","1994-05-11","浙江金元律师事务所"
"176","陈之华","351612196310224658","18118605453","1982-10-17","浙江六和湖州律师事务所"
"177","蔡郑爽","221325196712177982","14544975994","1985-12-12","浙江震瓯律师事务所"
"178","樊秀伟","500809196903125688","13251184881","1989-03-07","浙江宝国律师事务所"
"179","钱雷岗","321823196812065136","15623982033","1986-12-02","嵊州市甘霖法律服务所"
"180","叶广","230415198505294464","15288523358","2006-05-24","浙江正导律师事务所"
"181","王兴华","530323196907242093","15974110043","1989-07-19","浙江达正律师事务所"
"182","苏波","451211196812042136","15643699410","1989-11-29","浙江九凰律师事务所"
"183","宋颖莹","331302198109289849","13922427098","2002-09-23","浙江嘉丰律师事务所"
"184","吕雨时","370120196506306976","13929876244","1984-06-25","浙江博翔律师事务所"
"185","奚静","651527199101104380","15714244816","2010-01-05","浙江同元律师事务所"
"186","钱晓怡","351407196706283064","15635123010","1988-06-22","浙江峻德律师事务所"
"187","黄烈萍","711122198505089259","15112287602","2005-05-03","绍兴县平江法律服务所"
"188","徐兆红","530523198801149960","13608357539","2009-01-08","浙江求直律师事务所"
"189","张威波","510222197601036030","14555702791","1994-12-29","浙江昶日律师事务所"
"190","杨军军","141624198506219633","13921992384","2004-06-16","浙江淼森律师事务所"
"191","连静蓉","630508197307196559","13610797162","1993-07-14","浙江振才律师事务所"
"192","王蒙蒙","221505199610105316","18640669380","2017-10-05","浙江浙信律师事务所"
"193","童昀","711701197111288890","13246558510","1989-11-23","浙江阡与陌律师事务所"
"194","陈剑影","621201198802034383","13658816600","2008-01-29","浙江九州大众律师事务所"
"195","罗赛君","431714197808236257","15771332658","1997-08-18","三门县海游法律服务所"
"196","刘毅","321407196004017720","18950708981","1981-03-27","浙江越人律师事务所"
"197","储慧涛","361516196105278559","15682344477","1981-05-22","北京德恒宁波律师事务所"
"198","张锦灵","501327199102195013","13635177350","2012-02-14","浙江文达律师事务所"
"199","曾清","121128196602101565","18037894326","1986-02-05","浙江研墨律师事务所"
"200","施卓锋","151804196812231541","13207482380","1988-12-18","北京盈科慈溪律师事务所"
