"15","舒河","540322199607267992","","13605024901","西藏自治区拉萨市墨竹工卡县","","","","黑热病","2018-03-15","2018-03-20","","江娣","2018-03-22"
"16","高武哲","150728198606307638","","15307281739","内蒙古自治区赤峰市敖汉旗","","","","麻风病","2018-05-16","2018-05-23","","潘鹏","2018-05-25"
"17","米军翰","650808197005233607","","13408444081","新疆维吾尔族自治区克拉玛依市乌尔禾区","","","","包虫病","2017-10-03","2017-10-07","","施媛韵","2017-10-09"
"18","施姬萍","111319198709246614","","13302688194","北京市延庆县","","","","麻风病","2017-12-30","2018-01-06","","周国","2018-01-09"
"19","蓝霭云","511425199805026789","","13806158181","四川省南充市阆中市","","","","流行性腮腺炎","2018-05-07","2018-05-10","","邹震先","2018-05-13"
"20","薛裕","310511198310144964","","13808463772","上海市崇明县","","","","除副伤寒以外的感染性腹泻病","2018-01-26","2018-02-03","","庞福思","2018-02-07"
"21","费莉","210702199207162901","","13905442043","辽宁省锦州市古塔区","","","","风疹","2018-07-01","2018-07-04","","侯良","2018-07-06"
"22","乔新固","461122199005289051","","13406047868","海南省三亚市市辖区","","","","丝虫病","2017-10-31","2017-11-05","","何奇信","2017-11-07"
"23","丁航波","211222197503123865","","15601593777","辽宁省铁岭市铁岭县","","","","包虫病","2017-10-20","2017-10-27","","鲁文","2017-10-31"
"24","罗娣玲","130912199207243104","","15907514220","河北省沧州市运河区","","","","风疹","2017-10-23","2017-10-27","","黄欣娣","2017-10-29"
"25","胡园","501801199609177801","","13106732362","重庆市南川市","","","","急性出血性结膜炎","2018-04-21","2018-04-25","","云竹思","2018-04-27"
"26","施纨瑗","321827197607221955","","13707216716","江苏省宿迁市泗洪县","","","","急性出血性结膜炎","2018-05-10","2018-05-15","","潘行","2018-05-18"
"27","甘嘉","810404197502072210","","13603503234","新疆维吾尔族自治区石河子市","","","","流行性腮腺炎","2017-12-07","2017-12-14","","奚榕若","2017-12-17"
"28","水蓉怡","310811197103197413","","13100275447","上海市崇明县","","","","包虫病","2018-04-15","2018-04-17","","席纨","2018-04-20"
"29","陶姬","360826198402246561","","13008712139","江西省赣州市南康市","","","","急性出血性结膜炎","2017-12-21","2017-12-29","","马薇","2018-01-02"
"30","黄环","231012199601293270","","15507491391","黑龙江省牡丹江市西安区","","","","流行性和地方性斑疹伤寒","2017-11-13","2017-11-18","","柳壮","2017-11-21"
"31","季生","531109197510018852","","13601907762","云南省玉溪市元江哈尼族彝族傣族自治县","","","","包虫病","2018-07-17","2018-07-19","","陶娴娣","2018-07-21"
"32","章进祥","541315198704261899","","13704872257","西藏自治区拉萨市墨竹工卡县","","","","丝虫病","2017-12-26","2018-01-02","","曹志德","2018-01-04"
"33","杨蕊","330510197402049824","","13707137870","浙江省湖州市市辖区","","","","流行性腮腺炎","2018-04-24","2018-04-26","","计彪","2018-04-30"
"34","秦若","440323198107277704","","13506527144","广东省深圳市盐田区","","","","风疹","2018-06-07","2018-06-10","","郝雪伊","2018-06-14"
"35","戴 君","341617197208043124","","15106977434","安徽省宿州市泗县","","","","急性出血性结膜炎","2017-09-11","2017-09-13","","吉莺","2017-09-16"
"36","鲍艺","140511198305157181","","13001672249","山西省晋城市城区","","","","流行性和地方性斑疹伤寒","2017-09-11","2017-09-15","","汪蓓瑾","2017-09-18"
"37","崔娣桂","150814199807156116","","13607852834","内蒙古自治区赤峰市敖汉旗","","","","风疹","2017-08-01","2017-08-03","","安悦","2017-08-06"
"38","邓启世","310405198604035620","","15106504094","上海市崇明县","","","","流行性腮腺炎","2017-12-20","2017-12-27","","邬梁国","2017-12-29"
"39","程河","361113199108058790","","13401788533","江西省赣州市南康市","","","","丝虫病","2017-08-17","2017-08-23","","祝栋进","2017-08-26"
"40","俞贵炎","501313198605057486","","13602378261","重庆市南川市","","","","急性出血性结膜炎","2017-07-28","2017-08-02","","屈启","2017-08-04"
"41","唐鹏飞","231817199906065535","","15608605801","黑龙江省黑河市五大连池市","","","","风疹","2017-11-28","2017-12-06","","邢奇","2017-12-08"
"42","唐黛竹","321203198908072195","","15601285901","江苏省泰州市高港区","","","","黑热病","2018-01-03","2018-01-08","","吴时","2018-01-11"
"43","徐国天","430524199301043855","","15006737321","湖南省邵阳市隆回县","","","","除副伤寒以外的感染性腹泻病","2018-04-18","2018-04-26","","葛泰博","2018-04-30"
"44","侯裕力","530510198805231926","","13904588880","云南省玉溪市元江哈尼族彝族傣族自治县","","","","流行性感冒","2018-06-12","2018-06-17","","白凝春","2018-06-21"
"45","汪政","210519199805046840","","15602050823","辽宁省本溪市南芬区","","","","流行性感冒","2017-12-15","2017-12-21","","陆言","2017-12-24"
"46","吉之民","321723198709176489","","13901061650","江苏省宿迁市泗洪县","","","","包虫病","2017-10-22","2017-10-27","","裴钧达","2017-10-31"
"47","石伟","630707197807224862","","15008837703","青海省西宁市大通回族土族自治县","","","","急性出血性结膜炎","2018-01-16","2018-01-19","","毕燕","2018-01-21"
"48","鲁巧雅","411526198704201173","","15001016094","河南省信阳市潢川县","","","","麻风病","2018-07-20","2018-07-27","","范鸣航","2018-07-31"
"49","夏锦","341511199503088247","","13201772566","安徽省宿州市泗县","","","","麻风病","2017-08-31","2017-09-06","","穆维","2017-09-08"
"50","金致","330117198006191944","","13301550274","浙江省杭州市滨江区","","","","流行性和地方性斑疹伤寒","2017-08-03","2017-08-05","","曹奇全","2017-08-08"
"51","汤涛星","451015198801116596","","15607731602","广西壮族自治区玉林市北流市","","","","黑热病","2017-11-24","2017-11-26","","江桂","2017-11-30"
"52","杜永行","410817199305192335","","13202823184","河南省焦作市山阳区","","","","丝虫病","2018-02-14","2018-02-18","","莫君","2018-02-22"
"53","司静蕊","420128197410087264","","15705105175","湖北省武汉市新洲区","","","","流行性腮腺炎","2017-08-03","2017-08-07","","司致","2017-08-11"
"54","舒武","650803197103267282","","13705696549","新疆维吾尔族自治区克拉玛依市乌尔禾区","","","","丝虫病","2018-04-29","2018-05-05","","霍固建","2018-05-08"
"55","戚茂","640416199810222336","","13606357834","宁夏回族自治区吴忠市灵武市","","","","流行性感冒","2018-05-06","2018-05-11","","萧盛","2018-05-13"
"56","葛珍美","541414198711263307","","15003948361","西藏自治区拉萨市墨竹工卡县","","","","流行性感冒","2018-07-05","2018-07-10","","唐林","2018-07-14"
"57","卓文","450918198503214816","","13601715935","广西壮族自治区玉林市玉州区","","","","风疹","2017-12-06","2017-12-11","","娄善会","2017-12-15"
"58","时谦","340507197610106589","","13103850155","安徽省马鞍山市向山区","","","","丝虫病","2018-07-14","2018-07-18","","穆瑞","2018-07-22"
"59","左翔","611815199105056439","","13704202560","陕西省汉中市佛坪县","","","","麻风病","2017-11-29","2017-12-07","","邢羽融","2017-12-11"
"60","祝清茂","210105199907119383","","13701732868","辽宁省沈阳市皇姑区","","","","流行性和地方性斑疹伤寒","2017-07-27","2017-07-29","","尹仪竹","2017-08-02"
"61","季翠勤","361626198506096169","","15201608338","江西省赣州市南康市","","","","黑热病","2018-07-21","2018-07-27","","倪有彪","2018-07-30"
"62","彭庆","121320198201074714","","13805585171","天津市蓟县","","","","流行性感冒","2018-02-25","2018-03-02","","袁浩国","2018-03-05"
"63","段蕊娜","351827198607029891","","15807438865","福建省龙岩市漳平市","","","","流行性腮腺炎","2017-10-04","2017-10-07","","裴莺","2017-10-10"
"64","凌怡","451102199905248440","","13204341737","广西壮族自治区玉林市北流市","","","","流行性腮腺炎","2018-06-08","2018-06-14","","许岩榕","2018-06-17"
"65","喻明政","420302197803121695","","13904895770","湖北省十堰市茅箭区","","","","急性出血性结膜炎","2018-01-21","2018-01-25","","戚冰","2018-01-29"
"66","侯雄","141717198901016982","","13202986891","山西省晋城市怀仁县","","","","丝虫病","2017-09-24","2017-09-28","","赵青宁","2017-10-01"
"67","邱时","231717198511072762","","15906042174","黑龙江省黑河市五大连池市","","","","丝虫病","2018-07-06","2018-07-11","","杜言鸣","2018-07-13"
"68","葛露伊","350104198804295628","","13607696480","福建省福州市仓山区","","","","流行性腮腺炎","2017-11-06","2017-11-09","","姚雅芬","2017-11-11"
"69","云霞","451716198709011063","","13200476493","广西壮族自治区玉林市北流市","","","","麻风病","2018-02-13","2018-02-20","","江全","2018-02-22"
"70","魏丽","611802197801031995","","13304631053","陕西省汉中市佛坪县","","","","风疹","2018-07-01","2018-07-06","","马璧妍","2018-07-09"
"71","何义坚","350413198002249603","","13302636084","福建省三明市三元区","","","","麻风病","2017-10-25","2017-10-28","","殷义","2017-11-01"
"72","叶超","230625197810065501","","13804782866","黑龙江省大庆市杜尔伯特蒙古族自治县","","","","包虫病","2017-09-05","2017-09-10","","倪素","2017-09-12"
"73","戴君","360726198210133341","","15206713944","江西省赣州市安远县","","","","流行性感冒","2018-01-07","2018-01-13","","秦玲","2018-01-16"
"74","云辉天","351601197311198260","","13203632061","福建省龙岩市漳平市","","","","麻风病","2018-03-01","2018-03-08","","尹梁伦","2018-03-12"
"75","奚丽珊","621612199012177658","","15304760785","甘肃省天水市张家川回族自治县","","","","包虫病","2017-08-07","2017-08-14","","卜姬","2017-08-18"
"76","萧秋","430816199904067823","","15104998745","湖南省张家界市武陵源区","","","","流行性和地方性斑疹伤寒","2017-10-03","2017-10-11","","陆达雄","2017-10-15"
"77","卢伦","341812197310037733","","15301822859","安徽省宿州市泗县","","","","麻风病","2018-05-21","2018-05-29","","蔡元","2018-05-31"
"78","黄致翔","361306197002077297","","15607748973","江西省赣州市南康市","","","","流行性和地方性斑疹伤寒","2018-04-06","2018-04-13","","蒋茂成","2018-04-16"
"79","史厚","651616197203058167","","15705213676","新疆维吾尔族自治区克拉玛依市乌尔禾区","","","","包虫病","2018-01-19","2018-01-22","","谢思坚","2018-01-24"
"80","廉凝","621312197906276930","","15702172297","甘肃省天水市张家川回族自治县","","","","丝虫病","2017-08-06","2017-08-14","","熊锦悦","2017-08-17"
"81","舒平茂","231211198607102836","","15000731231","黑龙江省黑河市五大连池市","","","","流行性感冒","2018-05-21","2018-05-25","","沈静竹","2018-05-29"
"82","杨颖贞","111716198408092062","","15007960660","北京市延庆县","","","","流行性和地方性斑疹伤寒","2017-11-16","2017-11-19","","成羽黛","2017-11-21"
"83","鲁红","510401198308064046","","15602159021","四川省攀枝花市市辖区","","","","除副伤寒以外的感染性腹泻病","2017-11-15","2017-11-17","","凌春昭","2017-11-21"
"84","梅策和","530619197107188107","","15008121132","云南省玉溪市元江哈尼族彝族傣族自治县","","","","包虫病","2017-11-24","2017-11-27","","李翠凤","2017-11-30"
"85","时纯","611528198801262305","","15007513861","陕西省汉中市佛坪县","","","","流行性感冒","2018-07-18","2018-07-24","","包致达","2018-07-28"
"86","柳荔","640307199401013379","","15305345106","宁夏回族自治区吴忠市利通区","","","","除副伤寒以外的感染性腹泻病","2018-01-14","2018-01-18","","包琴","2018-01-20"
"87","冯东","151028199803145246","","15105195116","内蒙古自治区赤峰市敖汉旗","","","","除副伤寒以外的感染性腹泻病","2018-01-16","2018-01-23","","韦勤琰","2018-01-25"
"88","诸力新","110827198408025952","","15108511837","北京市延庆县","","","","麻风病","2017-08-20","2017-08-22","","窦洁璧","2017-08-26"
"89","云影菊","340115197505189652","","15103570497","安徽省合肥市郊区","","","","包虫病","2018-03-18","2018-03-21","","姜贞","2018-03-23"
"90","娄琰芸","421325197501087996","","15506057497","湖北省咸宁市通山县","","","","包虫病","2018-02-01","2018-02-05","","舒翠","2018-02-08"
"91","纪亨元","431708197809025861","","15205030785","湖南省怀化市洪江市","","","","急性出血性结膜炎","2017-11-28","2017-12-05","","柳香","2017-12-07"
"92","乔佳","810414199712297674","","13206452045","新疆维吾尔族自治区石河子市","","","","丝虫病","2018-06-28","2018-07-01","","董超乐","2018-07-03"
"93","包乐国","121223197106258025","","13402933220","天津市蓟县","","","","流行性和地方性斑疹伤寒","2017-12-14","2017-12-16","","丁芬亚","2017-12-18"
"94","狄欣珍","541612198701229448","","15601047425","西藏自治区拉萨市墨竹工卡县","","","","风疹","2018-03-27","2018-03-31","","邓富朋","2018-04-03"
"95","侯艺","410301199704025442","","15805050757","河南省洛阳市市辖区","","","","除副伤寒以外的感染性腹泻病","2017-09-30","2017-10-05","","梅华宜","2017-10-09"
"96","童坚鸣","131112198507112221","","15901258332","河北省衡水市桃城区","","","","风疹","2018-01-18","2018-01-26","","万荔珍","2018-01-28"
"97","邓福杰","511618197709196731","","13102853922","四川省广安市广安区","","","","风疹","2017-10-28","2017-10-30","","黄蓓","2017-11-01"
"98","姚思","711422198704267539","","15104921774","新疆维吾尔族自治区石河子市","","","","黑热病","2018-01-25","2018-01-31","","喻清","2018-02-04"
"99","钱凝","411628199701312169","","13005093166","河南省信阳市息县","","","","除副伤寒以外的感染性腹泻病","2017-12-13","2017-12-21","","余行","2017-12-23"
"100","阮亚茜","230525198311098186","","15805691725","黑龙江省双鸭山市饶河县","","","","除副伤寒以外的感染性腹泻病","2017-09-21","2017-09-26","","柯瑗琬","2017-09-30"
"101","韦宏","350619199709244642","","15605781904","福建省漳州市龙文区","","","","流行性腮腺炎","2017-10-10","2017-10-16","","李健","2017-10-20"
"102","姜珠菁","141022197505199422","","13003323288","山西省晋城市怀仁县","","","","包虫病","2017-11-20","2017-11-24","","柳维壮","2017-11-28"
"103","程世先","460420199107129690","","15802863861","海南省三亚市市辖区","","","","丝虫病","2018-03-22","2018-03-28","","包妹静","2018-04-01"
"104","陆毓","621810197307046310","","13300384183","甘肃省天水市张家川回族自治县","","","","麻风病","2018-06-23","2018-06-29","","车盛","2018-07-03"
"105","万园","211622197604043322","","15200706336","辽宁省葫芦岛市兴城市","","","","流行性腮腺炎","2018-01-10","2018-01-14","","管启星","2018-01-18"
"106","鲍妹娜","511013198108313980","","15208683784","四川省内江市东兴区","","","","风疹","2018-04-24","2018-04-30","","卓珊","2018-05-03"
"107","徐澜","420409198401178988","","13802204607","湖北省十堰市丹江口市","","","","除副伤寒以外的感染性腹泻病","2018-03-06","2018-03-09","","柯秋莉","2018-03-13"
"108","卞辰","620620199611063559","","13403781626","甘肃省天水市张家川回族自治县","","","","风疹","2018-04-29","2018-05-03","","陈梁承","2018-05-07"
"109","章政","611025198507243300","","13902451477","陕西省汉中市佛坪县","","","","丝虫病","2018-07-01","2018-07-08","","贝琴丽","2018-07-12"
"110","贾勤","641207199612103234","","15504002384","宁夏回族自治区吴忠市灵武市","","","","风疹","2017-10-08","2017-10-10","","苏学强","2017-10-13"
"111","潘斌","351319197012027915","","15907324070","福建省龙岩市漳平市","","","","除副伤寒以外的感染性腹泻病","2017-08-29","2017-08-31","","蒋柔","2017-09-04"
"112","屈伦鸣","460509198701131837","","13406981334","海南省三亚市市辖区","","","","除副伤寒以外的感染性腹泻病","2018-01-31","2018-02-02","","皮刚","2018-02-05"
"113","元珊","151812198811229231","","13402614597","内蒙古自治区赤峰市敖汉旗","","","","包虫病","2018-06-09","2018-06-17","","施风磊","2018-06-21"
"114","娄辰","411312199406024359","","13607328325","河南省南阳市卧龙区","","","","流行性和地方性斑疹伤寒","2018-07-21","2018-07-23","","柳楠泰","2018-07-26"
"115","翟思友","221404197308104141","","13505584219","吉林省白城市大安市","","","","急性出血性结膜炎","2017-09-08","2017-09-15","","华勇","2017-09-18"
"116","韩艺","221106198505134696","","15805402457","吉林省白城市大安市","","","","黑热病","2018-02-19","2018-02-26","","邢梦","2018-03-02"
"117","萧岩辉","341813199711061086","","15100093354","安徽省宿州市泗县","","","","丝虫病","2017-08-10","2017-08-18","","席菁静","2017-08-22"
"118","江莲蕊","530110198304145403","","15004455904","云南省昆明市盘龙区","","","","麻风病","2017-10-19","2017-10-21","","施馥","2017-10-23"
"119","路生启","451306198102198096","","13408704772","广西壮族自治区玉林市北流市","","","","急性出血性结膜炎","2017-10-01","2017-10-06","","屈寒","2017-10-09"
"120","施昭","640821198601205887","","13108757203","宁夏回族自治区吴忠市灵武市","","","","流行性和地方性斑疹伤寒","2017-12-11","2017-12-16","","黄咏","2017-12-19"
"121","陆娴璐","710323197411282700","","15603677458","新疆维吾尔族自治区石河子市","","","","除副伤寒以外的感染性腹泻病","2018-01-08","2018-01-13","","柯泰","2018-01-17"
"122","高娜晶","330118197202227726","","15103702253","浙江省杭州市滨江区","","","","丝虫病","2018-05-16","2018-05-22","","贾勇","2018-05-25"
"123","龚瑾琰","450618197406181888","","15003114674","广西壮族自治区防城港市防城区","","","","流行性感冒","2017-09-13","2017-09-16","","蒋昭","2017-09-19"
"124","罗岚寒","360822197512224482","","15104658788","江西省赣州市南康市","","","","麻风病","2018-01-30","2018-02-05","","吴枫艳","2018-02-07"
"125","刘茜希","621010198507247080","","13106854920","甘肃省天水市张家川回族自治县","","","","流行性感冒","2017-10-06","2017-10-12","","计妍凡","2017-10-15"
"126","董春","341004197112247246","","15701266648","安徽省黄山市徽州区","","","","流行性感冒","2018-06-28","2018-07-05","","郭群","2018-07-09"
"127","秦朋","351516199110169788","","13902527430","福建省龙岩市漳平市","","","","除副伤寒以外的感染性腹泻病","2017-11-18","2017-11-22","","李雄泽","2017-11-26"
"128","谭咏","531828199710027998","","15506306852","云南省玉溪市元江哈尼族彝族傣族自治县","","","","流行性腮腺炎","2017-12-29","2018-01-05","","施华荔","2018-01-08"
"129","程馨萍","371107199905308707","","13704884569","山东省日照市东港区","","","","丝虫病","2018-06-08","2018-06-13","","水枫","2018-06-17"
"130","卜雄","110515198109102347","","15506036010","北京市延庆县","","","","风疹","2017-08-23","2017-08-27","","于学","2017-08-30"
"131","章梦","641424199605181035","","15505888378","宁夏回族自治区吴忠市灵武市","","","","黑热病","2018-02-01","2018-02-04","","乐梦丽","2018-02-06"
"132","蔡善","340506197909249009","","13005392936","安徽省马鞍山市向山区","","","","流行性和地方性斑疹伤寒","2017-12-20","2017-12-23","","郑茜眉","2017-12-27"
"133","汤树光","460925199511135903","","15605640325","海南省三亚市市辖区","","","","除副伤寒以外的感染性腹泻病","2018-07-16","2018-07-22","","田河","2018-07-24"
"134","潘炎庆","711814197409162471","","15201967001","新疆维吾尔族自治区石河子市","","","","包虫病","2018-05-16","2018-05-20","","水达","2018-05-23"
"135","左环莺","340401197402265206","","13806592242","安徽省淮南市市辖区","","","","风疹","2018-04-19","2018-04-27","","邵莎茗","2018-04-29"
"136","翟香","331301197512234938","","13105738475","浙江省台州市临海市","","","","风疹","2017-12-24","2017-12-31","","祝先","2018-01-02"
"137","冯裕超","141412197405186521","","13800251414","山西省晋城市怀仁县","","","","流行性和地方性斑疹伤寒","2017-12-05","2017-12-13","","郭厚","2017-12-17"
"138","舒之","620325199003119058","","13602522672","甘肃省嘉峪关市永昌县","","","","流行性感冒","2018-07-21","2018-07-28","","裴建山","2018-07-31"
"139","赵佳希","211610199907091877","","13105348171","辽宁省葫芦岛市兴城市","","","","丝虫病","2017-08-07","2017-08-09","","毛翰","2017-08-13"
"140","水钧","370521199304299367","","15903337428","山东省东营市垦利县","","","","急性出血性结膜炎","2017-11-18","2017-11-26","","郝枝","2017-11-30"
"141","卢以浩","371118199208063812","","13106562321","山东省日照市东港区","","","","除副伤寒以外的感染性腹泻病","2017-10-19","2017-10-22","","邓瑾凝","2017-10-25"
"142","陶邦建","620721199806199360","","13802761505","甘肃省天水市张家川回族自治县","","","","黑热病","2018-07-07","2018-07-09","","沈羽娴","2018-07-12"
"143","任中国","711706198312067898","","13302732831","新疆维吾尔族自治区石河子市","","","","除副伤寒以外的感染性腹泻病","2017-08-17","2017-08-23","","俞竹","2017-08-25"
"144","华宁","510207198304205600","","13202463326","四川省成都市崇州市","","","","除副伤寒以外的感染性腹泻病","2018-06-13","2018-06-20","","严静秀","2018-06-22"
"145","许颖凝","531105198403249668","","13204498372","云南省玉溪市元江哈尼族彝族傣族自治县","","","","麻风病","2018-06-06","2018-06-14","","乐安","2018-06-17"
"146","崔桂娅","110618198103268493","","15008362735","北京市延庆县","","","","急性出血性结膜炎","2017-12-14","2017-12-21","","秦昭兰","2017-12-25"
"147","陶艳","351827197702176008","","13206605089","福建省龙岩市漳平市","","","","流行性和地方性斑疹伤寒","2018-01-28","2018-02-05","","平蕊咏","2018-02-08"
"148","贾桂","610828199311063054","","13702950814","陕西省汉中市佛坪县","","","","包虫病","2018-01-26","2018-02-02","","白伟","2018-02-06"
"149","车世","630621199505232010","","15706940384","青海省西宁市大通回族土族自治县","","","","除副伤寒以外的感染性腹泻病","2017-09-17","2017-09-24","","张天世","2017-09-27"
"150","于广","121607197901253641","","13901736528","天津市蓟县","","","","流行性和地方性斑疹伤寒","2017-12-22","2017-12-25","","韦婉黛","2017-12-29"
"151","宋时","430319198812113184","","15808204204","湖南省湘潭市岳塘区","","","","急性出血性结膜炎","2017-10-10","2017-10-12","","姜珊婕","2017-10-16"
"152","谭芬","650125197008303432","","13302605403","新疆维吾尔族自治区乌鲁木齐市乌鲁木齐县","","","","麻风病","2018-01-28","2018-02-02","","项岚","2018-02-06"
"153","潘晓茗","711616197811271051","","15003731048","新疆维吾尔族自治区石河子市","","","","流行性腮腺炎","2018-02-06","2018-02-14","","樊娣静","2018-02-17"
"154","邢寒霄","410524197302088741","","15808000088","河南省安阳市汤阴县","","","","风疹","2018-07-06","2018-07-11","","姜哲友","2018-07-15"
"155","常霄娴","350425198610244850","","15304534754","福建省三明市大田县","","","","风疹","2017-10-01","2017-10-06","","杜瑶悦","2017-10-10"
"156","左荔叶","141103198408305833","","15501886351","山西省晋城市怀仁县","","","","除副伤寒以外的感染性腹泻病","2018-06-05","2018-06-08","","叶晨强","2018-06-10"
"157","舒思","361526197706173393","","15708190218","江西省赣州市南康市","","","","除副伤寒以外的感染性腹泻病","2018-06-03","2018-06-06","","萧新","2018-06-10"
"158","殷菲卿","511315198811049405","","13508077075","四川省南充市嘉陵区","","","","麻风病","2018-06-11","2018-06-17","","张梦霄","2018-06-19"
"159","侯富","220201198509142185","","13206154571","吉林省吉林市市辖区","","","","风疹","2018-03-02","2018-03-10","","戚娴珊","2018-03-13"
"160","俞谦","620819196910069698","","15001737116","甘肃省天水市张家川回族自治县","","","","麻风病","2018-03-29","2018-04-04","","常厚浩","2018-04-08"
"161","曹勤","450906199409301470","","15202651495","广西壮族自治区玉林市玉州区","","","","麻风病","2018-03-24","2018-03-26","","施福家","2018-03-29"
"162","袁素","371224197603165405","","15301316408","山东省莱芜市钢城区","","","","麻风病","2017-11-06","2017-11-12","","娄咏 ","2017-11-15"
"163","钟谦","440616197707313140","","15500133178","广东省佛山市石湾区","","","","麻风病","2017-12-05","2017-12-08","","邵珍娜","2017-12-11"
"164","余悦冰","371307198202051791","","13902322022","山东省临沂市兰山区","","","","除副伤寒以外的感染性腹泻病","2018-07-04","2018-07-10","","屈永","2018-07-14"
"165","朱启","460809198902157179","","13908398389","海南省三亚市市辖区","","","","黑热病","2018-03-11","2018-03-17","","倪达钧","2018-03-20"
"166","毕永","370804198503235679","","13605217431","山东省济宁市市中区","","","","流行性和地方性斑疹伤寒","2018-02-06","2018-02-10","","颜东","2018-02-14"
"167","彭宁振","311128199205035342","","13500981781","上海市崇明县","","","","流行性感冒","2017-09-15","2017-09-19","","裴凡冰","2017-09-21"
"168","吉强","500414198612238659","","13403658575","重庆市南川市","","","","急性出血性结膜炎","2017-08-02","2017-08-04","","樊翔","2017-08-08"
"169","周璐","131609199108266140","","15008167894","河北省衡水市深州市","","","","丝虫病","2018-04-03","2018-04-11","","范希","2018-04-15"
"170","周勤","541526197107039816","","15501717719","西藏自治区拉萨市墨竹工卡县","","","","风疹","2018-02-25","2018-02-27","","俞仁","2018-03-02"
"171","卞松","150111197805285763","","15601290101","内蒙古自治区呼和浩特市郊区","","","","包虫病","2017-09-23","2017-10-01","","管婉","2017-10-04"
"172","喻伊","421801198710158278","","13004562631","湖北省咸宁市通山县","","","","麻风病","2017-08-27","2017-08-31","","卢泰","2017-09-03"
"173","潘育佳","141009197003078781","","13605442022","山西省晋城市怀仁县","","","","包虫病","2018-05-06","2018-05-10","","于荷飘","2018-05-13"
"174","邱芝","131421198802158756","","13208267351","河北省衡水市深州市","","","","流行性腮腺炎","2018-02-26","2018-03-05","","何妍","2018-03-08"
"175","杨滢","810504199006309668","","13905991765","新疆维吾尔族自治区石河子市","","","","急性出血性结膜炎","2017-09-09","2017-09-15","","邬奇","2017-09-19"
"176","伏叶","500328199708187824","","15604560897","重庆市(市)","","","","麻风病","2017-12-03","2017-12-10","","闵莎","2017-12-12"
"177","尤叶琳","450108199810121779","","15501776133","广西壮族自治区南宁市永新区","","","","麻风病","2018-01-23","2018-01-29","","乔洁","2018-02-02"
"178","苏彪诚","110706196909153482","","13008135948","北京市延庆县","","","","风疹","2017-10-13","2017-10-16","","万秋","2017-10-20"
"179","尹武信","631423199906084859","","13001406802","青海省西宁市大通回族土族自治县","","","","流行性感冒","2017-11-10","2017-11-12","","胡艺莎","2017-11-16"
"180","魏彩莉","461211199311283308","","13701906857","海南省三亚市市辖区","","","","黑热病","2017-07-29","2017-08-01","","李媛淑","2017-08-05"
"181","裴莲","510709198603144392","","13201955067","四川省绵阳市游仙区","","","","流行性感冒","2018-04-01","2018-04-07","","何飘婷","2018-04-10"
"182","何东","461307197107044475","","15502273520","海南省三亚市市辖区","","","","急性出血性结膜炎","2017-10-28","2017-10-30","","钟心武","2017-11-02"
"183","喻壮","460212197004234900","","13307656119","海南省三亚市市辖区","","","","丝虫病","2018-07-15","2018-07-22","","杨倩","2018-07-26"
"184","毕真菲","420603197808022211","","13206931575","湖北省襄樊市襄城区","","","","包虫病","2018-04-18","2018-04-26","","任承昌","2018-04-29"
"185","傅竹","341322198005085810","","15702725079","安徽省宿州市萧县","","","","丝虫病","2018-06-10","2018-06-12","","常悦","2018-06-14"
