"57","于宁","女","640116193503069320","暂停缴费","离休"
"58","廉梁栋","女","630417194310121362","冻结状态","退休"
"59","齐士以","女","630416193604131683","暂停缴费","离休"
"60","雷江超","男","360820195511211753","暂停缴费","退休"
"61","伍晨辰","女","810718193511196801","参保缴费","退休"
"62","纪磊民","男","140504195602036750","参保缴费","退休"
"63","屈进","男","350823195601146633","参保缴费","离休"
"64","王舒","男","120315194712189691","参保缴费","退休"
"65","伍秀娟","男","411523193412045333","参保缴费","离休"
"66","乐荔","男","510705193605207130","参保缴费","退休"
"67","褚琬茗","女","811424194401148325","冻结状态","离休"
"68","施玲","男","150227194605041318","参保缴费","退休"
"69","费梁栋","女","351411195406121322","参保缴费","退休"
"70","卫晨辰","女","350809194104103585","参保缴费","退休"
"71","狄秀娟","男","111020193712084696","冻结状态","离休"
"72","庞建家","女","501027195212224826","冻结状态","退休"
"73","滕安","男","621410193011069596","参保缴费","退休"
"74","黄有","男","411023195802021510","参保缴费","退休"
"75","吕亮","女","430717194502161649","暂停缴费","离休"
"76","罗腾","男","531511194003173398","参保缴费","离休"
"77","杨子","女","341820195707279345","参保缴费","离休"
"78","钱凝晓","男","331613194309143733","暂停缴费","退休"
"79","安强军","女","651317193010051927","参保缴费","离休"
"80","余晨辰","女","620127195011265463","冻结状态","离休"
"81","熊岩中","男","611718194601046836","冻结状态","离休"
"82","赵天","男","360918193811149896","暂停缴费","离休"
"83","施荣","女","150725194505279945","暂停缴费","离休"
"84","姚玉","男","510821193809119537","参保缴费","退休"
"85","伏世","男","460908195107024038","冻结状态","离休"
"86","朱涛","女","521228195406088046","暂停缴费","退休"
"87","成榕","女","221209193011279962","冻结状态","离休"
"88","皮姣","女","371407195901125344","暂停缴费","离休"
"89","金彩","女","211412195802042045","参保缴费","退休"
"90","韦以","女","420225193410064108","冻结状态","退休"
"91","任达安","女","340822194110105524","参保缴费","退休"
"92","喻瑶","男","311704193112223813","参保缴费","退休"
"93","施馨","女","531318193409049744","暂停缴费","离休"
"94","祁韵融","男","410619193904089695","暂停缴费","退休"
"95","杜岚苑","男","520425194406213119","冻结状态","离休"
"96","沈旭","男","211627194601066478","冻结状态","离休"
"97","贝河哲","女","460408193003163327","冻结状态","离休"
"98","臧荷丹","女","531315194609282063","冻结状态","离休"
"99","方中","女","640403195305076206","参保缴费","离休"
"100","柏刚","女","370922195501035944","暂停缴费","退休"
"101","廉全","男","641115194804199058","参保缴费","离休"
"102","顾青倩","男","511608195711116458","冻结状态","退休"
"103","许韵融","男","310921194105197056","冻结状态","离休"
"104","平斌","女","130707193003289280","参保缴费","退休"
"105","邬仁","女","630701195608269025","暂停缴费","离休"
"106","戚雄琛","女","421324195807295628","暂停缴费","退休"
"107","穆子","男","221724195402137270","参保缴费","离休"
"108","汪馥","女","420609194312286808","暂停缴费","离休"
"109","郝树","男","431011193012028736","参保缴费","离休"
"110","成嘉","女","420706193711062106","参保缴费","退休"
"111","张翰","男","131123193706019832","冻结状态","离休"
"112","张强军","男","360621195506266379","参保缴费","退休"
"113","祝福","男","621708194903129855","参保缴费","离休"
"114","俞宁","女","230113194112169387","冻结状态","离休"
"115","姚欣","男","110525193008266351","冻结状态","退休"
"116","苗勤","女","211011195310177068","参保缴费","离休"
"117","孟勇毅","男","540503195702083858","参保缴费","退休"
"118","王瑾颖","男","230926194610147217","参保缴费","退休"
"119","董行时","女","340320195604079386","暂停缴费","离休"
"120","廉松善","男","811120194407218514","冻结状态","离休"
"121","倪善","女","221820193807099724","参保缴费","退休"
"122","奚凤","男","140412194204298857","暂停缴费","退休"
"123","卜启","女","540427195902086147","参保缴费","离休"
"124","韩和","女","520301194801129843","参保缴费","离休"
"125","曹维启","女","370227194011069625","暂停缴费","离休"
"126","余俊峰","男","431816193906058739","暂停缴费","退休"
"127","秦娥玲","女","431521193909199381","暂停缴费","退休"
"128","雷山仁","女","341106194905236501","暂停缴费","退休"
"129","奚天","男","351807195803283874","冻结状态","离休"
"130","奚承乐","男","440211194701204793","参保缴费","离休"
"131","汤亮","男","520623194310112378","冻结状态","离休"
"132","席功","男","141822193207266254","参保缴费","退休"
"133","祁树","女","510517194305107982","暂停缴费","退休"
"134","梁翠雅","女","530302194408232060","参保缴费","离休"
"135","范思","女","221023195701094421","暂停缴费","退休"
"136","宋琬茗","女","310918194601065986","暂停缴费","离休"
"137","和功","男","650922194602049213","暂停缴费","退休"
"138","朱冠","男","311713193511051573","暂停缴费","离休"
"139","卫菲寒","女","651828195310084103","参保缴费","离休"
"140","时鹏泽","女","431210194905308708","冻结状态","退休"
"141","曹天","女","320717193108031608","暂停缴费","退休"
"142","黄中","男","360919194008272193","暂停缴费","退休"
"143","汪林有","男","410918194309265552","冻结状态","退休"
"144","俞星","男","370401195110128239","参保缴费","退休"
"145","李永","男","231724194701287854","暂停缴费","离休"
"146","杜娥玲","女","411011193311255060","参保缴费","离休"
"147","舒鹏泽","男","431409194106189051","冻结状态","离休"
"148","范策腾","男","540516194711107196","冻结状态","离休"
"149","卜友裕","女","510206194911206361","冻结状态","退休"
"150","喻功","男","351624194505083673","参保缴费","离休"
"151","汤贞","男","371126195408305797","参保缴费","离休"
"152","邹涛","女","710823193909207000","暂停缴费","退休"
"153","华俊峰","女","361228195112042887","暂停缴费","退休"
"154","姚泽","男","610601194310206494","冻结状态","离休"
"155","汤咏卿","男","621702194006151691","冻结状态","退休"
"156","黄建家","女","210114194605309141","暂停缴费","退休"
"157","袁松善","女","520705194802278984","暂停缴费","退休"
"158","臧顺","女","531024194401206285","参保缴费","离休"
"159","沈朋斌","女","211202193701032943","暂停缴费","退休"
"160","郝澜","女","431216193403207805","冻结状态","退休"
"161","邹江超","女","341008193208146481","暂停缴费","离休"
"162","纪晶妍","男","410310193709062632","参保缴费","退休"
"163","杜澜","女","531407195709114108","参保缴费","退休"
"164","邬勇毅","男","501505193504075135","冻结状态","退休"
"165","张莲","女","360801194401201489","暂停缴费","退休"
"166","舒中","女","150717195902183747","参保缴费","离休"
"167","祁莉桂","女","340117194211089807","参保缴费","退休"
"168","韦玲","女","110826195502077446","暂停缴费","退休"
"169","郑琼勤","男","461209195406173874","冻结状态","离休"
"170","邹克伦","女","121216195303111445","参保缴费","退休"
"171","昌澜","男","330112194104272318","参保缴费","离休"
"172","吕之","女","451615195006279384","冻结状态","退休"
"173","水英华","女","651108195706241405","冻结状态","退休"
"174","萧亮","女","530517193701199741","参保缴费","离休"
"175","伍轮翰","女","531420194007155240","参保缴费","退休"
"176","杜林有","女","220814194201089089","参保缴费","离休"
"177","毕才发","女","151111193111091641","参保缴费","离休"
"178","谈武新","男","640822194411121252","参保缴费","退休"
"179","鲁倩","女","431815194312064623","参保缴费","退休"
"180","何山仁","男","450519195301068077","冻结状态","退休"
"181","薛生龙","男","710805194212221713","冻结状态","离休"
"182","宋博","男","650503193807229677","参保缴费","退休"
"183","滕岚苑","女","150617194301051761","冻结状态","离休"
"184","邬伟刚","男","150805193606242376","暂停缴费","离休"
"185","韩磊民","女","221015195609106561","暂停缴费","退休"
"186","秦飞彬","男","641111195508033319","冻结状态","离休"
"187","孟谦","男","500719195204162318","参保缴费","退休"
"188","滕滢馥","女","221622195404077486","参保缴费","退休"
"189","殷奇","男","520819194602182270","暂停缴费","离休"
"190","殷仁","男","220607195908107818","暂停缴费","退休"
"191","奚富顺","女","351408193405317383","冻结状态","退休"
"192","孔盛","女","411706193211221386","冻结状态","退休"
"193","水朋斌","女","420610195108051568","暂停缴费","退休"
"194","屈冠","女","231024193807088989","冻结状态","离休"
"195","滕旭","男","321704195003288913","参保缴费","离休"
"196","褚清","男","651810193001231433","参保缴费","离休"
"197","花保","男","311006195007051296","暂停缴费","离休"
"198","何河哲","男","521327193905273914","暂停缴费","离休"
"199","凤俊峰","男","320701193001091732","暂停缴费","退休"
"200","杨之","男","361423193803114374","参保缴费","退休"
